,tradingDay,updateTime,bidprice,bidvolume,askprice,askvolume,lastPrice,tradevolume,tick_Vol,openintrest,timesecond,Kindex,open,high,low,close,GK,xuti,shiti
0,20180402,20:59:00,5430.0,50.0,5432.0,102.0,5432.0,752.0,752.0,607968.0,0.0,0,5432.0,5432.0,5430.0,5432.0,2.0,2.0,0.0
1,20180402,21:00:01,5430.0,1.0,5432.0,98.0,5432.0,1036.0,284.0,608186.0,1.0,0,5432.0,5432.0,5430.0,5432.0,2.0,2.0,0.0
2,20180402,21:00:01,5432.0,36.0,5434.0,282.0,5432.0,1666.0,630.0,607588.0,1.5,0,5432.0,5434.0,5430.0,5432.0,2.0,4.0,0.0
3,20180402,21:00:02,5434.0,127.0,5436.0,134.0,5436.0,3026.0,1360.0,606434.0,2.0,0,5432.0,5436.0,5430.0,5436.0,2.0,6.0,4.0
4,20180402,21:00:03,5436.0,21.0,5438.0,1.0,5436.0,3298.0,272.0,606296.0,3.0,0,5432.0,5438.0,5430.0,5436.0,2.0,8.0,4.0
5,20180402,21:00:03,5440.0,12.0,5444.0,52.0,5444.0,3520.0,222.0,606202.0,3.5,0,5432.0,5444.0,5430.0,5444.0,2.0,14.0,12.0
6,20180402,21:00:04,5444.0,34.0,5446.0,24.0,5444.0,3730.0,210.0,606116.0,4.0,0,5432.0,5446.0,5430.0,5444.0,2.0,16.0,12.0
7,20180402,21:00:05,5444.0,51.0,5448.0,15.0,5448.0,3962.0,232.0,605930.0,5.0,0,5432.0,5448.0,5430.0,5448.0,2.0,18.0,16.0
8,20180402,21:00:05,5448.0,3.0,5452.0,59.0,5448.0,4672.0,710.0,605346.0,5.5,0,5432.0,5452.0,5430.0,5448.0,2.0,22.0,16.0
9,20180402,21:00:06,5446.0,2.0,5452.0,21.0,5446.0,4844.0,172.0,605220.0,6.5,0,5432.0,5452.0,5430.0,5446.0,2.0,22.0,14.0
10,20180402,21:00:08,5446.0,23.0,5450.0,21.0,5450.0,5186.0,342.0,605100.0,8.5,0,5432.0,5452.0,5430.0,5450.0,2.0,22.0,18.0
11,20180402,21:00:09,5446.0,17.0,5450.0,11.0,5450.0,5218.0,32.0,605088.0,9.0,0,5432.0,5452.0,5430.0,5450.0,2.0,22.0,18.0
12,20180402,21:00:09,5450.0,2.0,5452.0,8.0,5450.0,5288.0,70.0,605094.0,9.5,0,5432.0,5452.0,5430.0,5450.0,2.0,22.0,18.0
13,20180402,21:00:10,5448.0,2.0,5450.0,1.0,5450.0,5306.0,18.0,605080.0,10.0,0,5432.0,5452.0,5430.0,5450.0,2.0,22.0,18.0
14,20180402,21:00:10,5442.0,10.0,5450.0,17.0,5450.0,5448.0,142.0,605014.0,10.5,0,5432.0,5452.0,5430.0,5450.0,2.0,22.0,18.0
15,20180402,21:00:11,5448.0,1.0,5450.0,11.0,5448.0,5510.0,62.0,604956.0,11.0,0,5432.0,5452.0,5430.0,5448.0,2.0,22.0,16.0
16,20180402,21:00:11,5446.0,10.0,5448.0,10.0,5448.0,5514.0,4.0,604960.0,11.5,0,5432.0,5452.0,5430.0,5448.0,2.0,22.0,16.0
17,20180402,21:00:24,5444.0,16.0,5446.0,37.0,5448.0,5514.0,0.0,604960.0,24.5,0,5432.0,5452.0,5430.0,5448.0,2.0,22.0,16.0
18,20180402,21:00:25,5444.0,20.0,5446.0,45.0,5448.0,5514.0,0.0,604960.0,25.0,0,5432.0,5452.0,5430.0,5448.0,2.0,22.0,16.0
19,20180402,21:00:26,5444.0,19.0,5446.0,44.0,5446.0,5772.0,258.0,604906.0,26.0,0,5432.0,5452.0,5430.0,5446.0,2.0,22.0,14.0
20,20180402,21:00:27,5444.0,18.0,5446.0,5.0,5446.0,5856.0,84.0,604868.0,27.0,0,5432.0,5452.0,5430.0,5446.0,2.0,22.0,14.0
21,20180402,21:00:27,5444.0,36.0,5446.0,1.0,5446.0,5866.0,10.0,604878.0,27.5,0,5432.0,5452.0,5430.0,5446.0,2.0,22.0,14.0
22,20180402,21:00:28,5442.0,21.0,5444.0,144.0,5444.0,5988.0,122.0,604828.0,28.5,0,5432.0,5452.0,5430.0,5444.0,2.0,22.0,12.0
23,20180402,21:00:29,5442.0,22.0,5444.0,132.0,5444.0,6012.0,24.0,604828.0,29.0,0,5432.0,5452.0,5430.0,5444.0,2.0,22.0,12.0
24,20180402,21:00:29,5442.0,15.0,5444.0,124.0,5444.0,6028.0,16.0,604814.0,29.5,0,5432.0,5452.0,5430.0,5444.0,2.0,22.0,12.0
